customer_id,signup_date,segment
1,2025-11-24,Consumer
2,2026-01-15,Consumer
3,2025-04-25,Consumer
4,2025-02-22,Consumer
5,2025-10-07,Consumer
6,2025-08-05,Consumer
7,2025-02-17,Consumer
8,2025-09-16,Consumer
9,2025-10-15,Consumer
10,2025-11-29,Business
11,2025-08-03,Consumer
12,2025-10-29,Consumer
13,2025-01-04,Business
14,2025-03-23,Consumer
15,2025-06-24,Consumer
16,2025-04-21,Enterprise
17,2025-06-22,Consumer
18,2025-07-14,Consumer
19,2025-06-26,Consumer
20,2026-02-18,Consumer
21,2025-08-24,Consumer
22,2025-07-13,Consumer
23,2025-05-31,Business
24,2025-11-13,Business
25,2025-07-05,Consumer
26,2025-12-27,Consumer
27,2025-12-05,Consumer
28,2025-05-29,Enterprise
29,2025-04-30,Business
30,2025-07-14,Consumer
31,2025-11-22,Business
32,2025-03-25,Consumer
33,2025-04-18,Consumer
34,2025-12-26,Enterprise
35,2025-11-28,Consumer
36,2025-11-22,Consumer
37,2026-01-09,Consumer
38,2025-08-25,Consumer
39,2025-11-24,Consumer
40,2025-04-23,Consumer
41,2026-01-29,Business
42,2025-04-28,Business
43,2026-02-17,Consumer
44,2025-05-18,Consumer
45,2025-10-18,Business
46,2025-06-11,Consumer
47,2025-09-13,Consumer
48,2025-11-26,Consumer
49,2025-05-16,Consumer
50,2026-01-17,Consumer
51,2025-05-15,Business
52,2025-08-08,Business
53,2025-07-24,Consumer
54,2025-03-12,Consumer
55,2025-02-16,Business
56,2025-02-26,Consumer
57,2025-03-23,Business
58,2025-08-05,Consumer
59,2025-07-17,Consumer
60,2025-08-28,Consumer
61,2025-10-11,Business
62,2025-01-06,Consumer
63,2025-02-28,Consumer
64,2025-10-02,Business
65,2026-01-29,Consumer
66,2025-02-27,Consumer
67,2025-03-22,Consumer
68,2026-01-05,Business
69,2025-05-15,Enterprise
70,2026-01-26,Consumer
71,2025-02-24,Business
72,2025-06-02,Business
73,2025-09-17,Consumer
74,2025-03-20,Consumer
75,2025-03-24,Consumer
76,2026-02-03,Enterprise
77,2025-01-01,Consumer
78,2025-09-08,Consumer
79,2025-07-05,Business
80,2026-02-18,Consumer
81,2025-01-30,Consumer
82,2025-10-18,Enterprise
83,2025-02-13,Business
84,2026-02-22,Consumer
85,2026-01-25,Consumer
86,2025-03-06,Consumer
87,2025-09-01,Enterprise
88,2025-03-26,Consumer
89,2025-11-07,Consumer
90,2025-04-19,Enterprise
91,2026-01-22,Business
92,2025-04-13,Business
93,2025-07-24,Enterprise
94,2025-11-29,Consumer
95,2025-09-22,Consumer
96,2025-05-07,Consumer
97,2025-06-23,Consumer
98,2025-10-11,Consumer
99,2025-04-23,Consumer
100,2025-12-29,Consumer
101,2025-04-28,Consumer
102,2025-01-17,Business
103,2025-02-06,Consumer
104,2025-05-23,Consumer
105,2025-04-20,Consumer
106,2026-01-06,Enterprise
107,2025-10-20,Consumer
108,2025-05-05,Business
109,2026-02-18,Consumer
110,2025-02-18,Consumer
111,2025-08-09,Consumer
112,2025-07-30,Consumer
113,2026-01-09,Consumer
114,2025-12-01,Enterprise
115,2025-02-20,Consumer
116,2026-01-08,Consumer
117,2025-02-25,Consumer
118,2025-04-08,Consumer
119,2025-03-13,Consumer
120,2025-05-23,Consumer
121,2025-02-08,Consumer
122,2025-10-09,Consumer
123,2025-11-30,Enterprise
124,2025-01-08,Enterprise
125,2026-01-21,Business
126,2025-03-27,Consumer
127,2025-09-04,Consumer
128,2025-07-25,Business
129,2025-03-26,Consumer
130,2025-07-19,Consumer
131,2026-02-06,Business
132,2025-05-27,Consumer
133,2026-01-10,Enterprise
134,2025-10-12,Consumer
135,2025-09-07,Consumer
136,2025-06-01,Consumer
137,2025-01-30,Consumer
138,2025-10-05,Consumer
139,2025-06-10,Consumer
140,2025-10-27,Consumer
141,2025-09-29,Consumer
142,2025-09-18,Consumer
143,2025-04-06,Consumer
144,2025-02-04,Consumer
145,2025-05-01,Consumer
146,2025-10-19,Consumer
147,2025-11-01,Consumer
148,2025-02-11,Consumer
149,2025-10-26,Consumer
150,2025-06-11,Enterprise
151,2025-04-15,Consumer
152,2025-06-10,Consumer
153,2025-07-22,Consumer
154,2025-11-27,Consumer
155,2025-06-11,Enterprise
156,2025-02-07,Consumer
157,2025-11-15,Enterprise
158,2025-02-21,Consumer
159,2025-04-20,Consumer
160,2025-03-09,Enterprise
161,2025-02-05,Business
162,2025-07-09,Consumer
163,2025-08-13,Business
164,2025-12-27,Consumer
165,2026-02-18,Consumer
166,2025-01-05,Consumer
167,2025-10-11,Consumer
168,2025-12-06,Consumer
169,2025-03-10,Consumer
170,2025-02-24,Business
171,2025-03-21,Consumer
172,2025-11-06,Consumer
173,2025-06-25,Consumer
174,2025-11-21,Business
175,2025-09-16,Consumer
176,2025-01-27,Consumer
177,2025-08-05,Business
178,2025-01-23,Consumer
179,2026-01-30,Consumer
180,2025-05-15,Consumer
181,2025-08-15,Consumer
182,2025-08-07,Consumer
183,2025-02-27,Consumer
184,2025-12-20,Business
185,2025-10-07,Consumer
186,2025-07-09,Consumer
187,2025-03-17,Consumer
188,2025-01-22,Consumer
189,2026-02-12,Enterprise
190,2025-01-21,Business
191,2025-04-18,Consumer
192,2025-12-08,Consumer
193,2026-02-04,Consumer
194,2025-07-28,Enterprise
195,2026-01-19,Consumer
196,2025-05-02,Business
197,2026-02-14,Business
198,2025-07-31,Consumer
199,2026-01-13,Enterprise
200,2026-02-05,Enterprise
201,2026-02-15,Consumer
202,2026-01-12,Business
203,2025-05-17,Consumer
204,2025-12-26,Consumer
205,2025-01-20,Business
206,2025-04-24,Consumer
207,2025-08-24,Consumer
208,2026-02-25,Business
209,2025-04-27,Consumer
210,2025-12-04,Consumer
211,2025-06-18,Consumer
212,2025-02-05,Enterprise
213,2025-05-23,Consumer
